,,predicted y using no of features according to heat map,,,,,,,,
actual y test,,1,2,3,4,5,6,7,8,predicted y using all features
0.056256721,,0.057943007,0.069591528,0.071215114,0.056808131,0.061468578,0.049271942,0.069591528,0.056539381,0.052913623
0.034827753,,0.057943007,0.069591528,0.069990793,0.056808131,0.061468578,0.049271942,0.069591528,0.056539381,0.052913623
0.03805959,,0.057943007,0.039514197,0.053897003,0.037447303,0.042010331,0.043362055,0.042010331,0.040609434,0.052913623
0.053985517,,0.077050909,0.085253998,0.082941594,0.075784792,0.069421023,0.069591528,0.069591528,0.069591528,0.070993757
0.052372587,,0.057943007,0.085253998,0.082941594,0.075784792,0.069421023,0.069591528,0.069591528,0.069591528,0.070993757
0.042758753,,0.057943007,0.039514197,0.053176414,0.037447303,0.042010331,0.043362055,0.042010331,0.040609434,0.052913623
0.058178973,,0.078004144,0.084467439,0.086761393,0.07208366,0.069421023,0.071217671,0.071580238,0.069591528,0.070993757
0.096137258,,0.057943007,0.085344772,0.08855593,0.075784792,0.069421023,0.069591528,0.069591528,0.069591528,0.071274367
0.041839646,,0.057943007,0.085253998,0.079937302,0.069591528,0.068741327,0.069591528,0.069591528,0.068867527,0.069591528
0.082229337,,0.085697778,0.090851499,0.100046408,0.082851177,0.069591528,0.071217671,0.069591528,0.069591528,0.093091685
0.05854405,,0.10883094,0.123075456,0.12400407,0.075784792,0.069591528,0.069591528,0.071580238,0.069591528,0.073622517
0.029731188,,0.078004144,0.084467439,0.090928765,0.082851177,0.069591528,0.069591528,0.069591528,0.069591528,0.073475029
0.075088684,,0.085697778,0.085344772,0.085133835,0.07208366,0.081788361,0.079439348,0.074647155,0.073139119,0.077846429
0.064930239,,0.085697778,0.086067797,0.092010692,0.082851177,0.070387544,0.074751584,0.069591528,0.069591528,0.093091685
0.09554185,,0.078004144,0.105110872,0.184239448,0.106563419,0.096196943,0.115642037,0.094046268,0.084247693,0.093091685
0.060661556,,0.085697778,0.086067797,0.087211169,0.07208366,0.078396254,0.079439348,0.074647155,0.073139119,0.077846429
0.095332758,,0.10883094,0.123075456,0.106114984,0.075784792,0.069591528,0.069591528,0.071580238,0.069591528,0.073622517
0.026446186,,0.085697778,0.044952663,0.068079522,0.037447303,0.042010331,0.043362055,0.042010331,0.040609434,0.046066064
