,,predicted y usinf no of features according to headmap,,,,,,,,
actual y test,,1,2,3,4,5,6,7,8,predicted y using all feature
0.03772365,,0.066608235,0.05948771,0.05948771,0.05948771,0.059103753,0.059103753,0.059103753,0.059103753,0.059103753
0.065713063,,0.055328354,0.055984055,0.055984055,0.055984055,0.056335619,0.056335619,0.056335619,0.056335619,0.056335619
0.038517547,,0.059995891,0.054895405,0.054895405,0.054895405,0.055364668,0.055364668,0.055364668,0.055364668,0.055364668
0.049964807,,0.055328354,0.055984055,0.055984055,0.055984055,0.056335619,0.056335619,0.056335619,0.056335619,0.056335619
0.068768818,,0.055328354,0.057185761,0.057185761,0.057185761,0.057516148,0.057516148,0.057516148,0.057516148,0.057516148
0.044785499,,0.066608235,0.059470124,0.059470124,0.059470124,0.058692199,0.058692199,0.058692199,0.058692199,0.058692199
0.056081269,,0.088001113,0.079481812,0.079481812,0.079481812,0.08003487,0.08003487,0.08003487,0.08003487,0.08003487
0.054884226,,0.088001113,0.079481812,0.079481812,0.079481812,0.080025002,0.080025002,0.080025002,0.080025002,0.080025002
0.065233562,,0.055328354,0.062930499,0.062930499,0.062930499,0.063159651,0.063159651,0.063159651,0.063159651,0.063159651
0.056180021,,0.072053695,0.064513382,0.064513382,0.064513382,0.063020499,0.063020499,0.063020499,0.063020499,0.063020499
0.05799646,,0.088001113,0.079481812,0.079481812,0.079481812,0.080020511,0.080020511,0.080020511,0.080020511,0.080020511
0.052703327,,0.088001113,0.079481812,0.079481812,0.079481812,0.080024558,0.080024558,0.080024558,0.080024558,0.080024558
0.053974836,,0.058440045,0.059437879,0.059437879,0.059437879,0.059789524,0.059789524,0.059789524,0.059789524,0.059789524
0.080275014,,0.055328354,0.05466511,0.05466511,0.05466511,0.055039916,0.055039916,0.055039916,0.055039916,0.055039916
0.096120069,,0.122618679,0.170882488,0.170882488,0.170882488,0.170578317,0.170578317,0.170578317,0.170578317,0.170578317
0.041645313,,0.064663428,0.057748935,0.057748935,0.057748935,0.057412305,0.057412305,0.057412305,0.057412305,0.057412305
0.042669009,,0.061940698,0.057794852,0.057794852,0.057794852,0.058258018,0.058258018,0.058258018,0.058258018,0.058258018
0.065953312,,0.055328354,0.062930499,0.062930499,0.062930499,0.063159651,0.063159651,0.063159651,0.063159651,0.063159651
0.025875102,,0.065052389,0.05797183,0.05797183,0.05797183,0.057847593,0.057847593,0.057847593,0.057847593,0.057847593
0.063184884,,0.071275772,0.063950353,0.063950353,0.063950353,0.062380852,0.062380852,0.062380852,0.062380852,0.062380852
0.037320348,,0.059995891,0.054895405,0.054895405,0.054895405,0.055364668,0.055364668,0.055364668,0.055364668,0.055364668
0.056523079,,0.072442656,0.064534039,0.064534039,0.064534039,0.062777552,0.062777552,0.062777552,0.062777552,0.062777552
0.06897037,,0.055328354,0.060527088,0.060527088,0.060527088,0.060798593,0.060798593,0.060798593,0.060798593,0.060798593
0.060571674,,0.066608235,0.059373402,0.059373402,0.059373402,0.058157831,0.058157831,0.058157831,0.058157831,0.058157831
0.072102106,,0.055328354,0.064777022,0.064777022,0.064777022,0.064981506,0.064981506,0.064981506,0.064981506,0.064981506
0.035850141,,0.062718621,0.056121537,0.056121537,0.056121537,0.055773947,0.055773947,0.055773947,0.055773947,0.055773947
0.144254706,,0.055328354,0.055984055,0.055984055,0.055984055,0.056335619,0.056335619,0.056335619,0.056335619,0.056335619
0.076232587,,0.055328354,0.057185761,0.057185761,0.057185761,0.057516148,0.057516148,0.057516148,0.057516148,0.057516148
0.047173434,,0.055328354,0.060527088,0.060527088,0.060527088,0.060798593,0.060798593,0.060798593,0.060798593,0.060798593
0.058185142,,0.059217968,0.076062727,0.076062727,0.076062727,0.076137262,0.076137262,0.076137262,0.076137262,0.076137262
0.080208123,,0.055328354,0.060527088,0.060527088,0.060527088,0.060798593,0.060798593,0.060798593,0.060798593,0.060798593
0.041274032,,0.073998502,0.066052851,0.066052851,0.066052851,0.064684223,0.064684223,0.064684223,0.064684223,0.064684223
0.050262545,,0.06816408,0.061229277,0.061229277,0.061229277,0.059657629,0.059657629,0.059657629,0.059657629,0.059657629
0.082970885,,0.057662122,0.052353399,0.052353399,0.052353399,0.052819891,0.052819891,0.052819891,0.052819891,0.052819891
0.060303393,,0.055328354,0.052534281,0.052534281,0.052534281,0.052946637,0.052946637,0.052946637,0.052946637,0.052946637
0.037114341,,0.058440045,0.059437879,0.059437879,0.059437879,0.059789524,0.059789524,0.059789524,0.059789524,0.059789524
0.08981698,,0.055328354,0.060527088,0.060527088,0.060527088,0.060798593,0.060798593,0.060798593,0.060798593,0.060798593
0.060891839,,0.059217968,0.076062727,0.076062727,0.076062727,0.076137262,0.076137262,0.076137262,0.076137262,0.076137262
0.06554233,,0.065441351,0.058540581,0.058540581,0.058540581,0.056065988,0.056065988,0.056065988,0.056065988,0.056065988
0.038971616,,0.063107582,0.056461672,0.056461672,0.056461672,0.056116015,0.056116015,0.056116015,0.056116015,0.056116015
0.080748112,,0.077499155,0.133126858,0.133126858,0.133126858,0.132568403,0.132568403,0.132568403,0.132568403,0.132568403
0.355423367,,0.116395296,0.173881584,0.173881584,0.173881584,0.173311086,0.173311086,0.173311086,0.173311086,0.173311086
0.045831544,,0.060384852,0.056041562,0.056041562,0.056041562,0.056502158,0.056502158,0.056502158,0.056502158,0.056502158
0.065905765,,0.055328354,0.064777022,0.064777022,0.064777022,0.064981506,0.064981506,0.064981506,0.064981506,0.064981506
0.088897281,,0.055328354,0.064777022,0.064777022,0.064777022,0.064981506,0.064981506,0.064981506,0.064981506,0.064981506
0.099418357,,0.055328354,0.052548936,0.052548936,0.052548936,0.052961034,0.052961034,0.052961034,0.052961034,0.052961034
0.081531757,,0.055328354,0.057185761,0.057185761,0.057185761,0.057516148,0.057516148,0.057516148,0.057516148,0.057516148
0.056654814,,0.088001113,0.079481812,0.079481812,0.079481812,0.080023043,0.080023043,0.080023043,0.080023043,0.080023043
0.10583122,,0.055328354,0.057185761,0.057185761,0.057185761,0.057516148,0.057516148,0.057516148,0.057516148,0.057516148
0.152792553,,0.055328354,0.057185761,0.057185761,0.057185761,0.057516148,0.057516148,0.057516148,0.057516148,0.057516148
0.06631715,,0.059217968,0.076062727,0.076062727,0.076062727,0.076137262,0.076137262,0.076137262,0.076137262,0.076137262
0.043265181,,0.059995891,0.054895405,0.054895405,0.054895405,0.055366682,0.055366682,0.055366682,0.055366682,0.055366682
0.049718954,,0.072442656,0.064736277,0.064736277,0.064736277,0.062780972,0.062780972,0.062780972,0.062780972,0.062780972
0.067138914,,0.055328354,0.052548936,0.052548936,0.052548936,0.052961034,0.052961034,0.052961034,0.052961034,0.052961034
0.03612119,,0.07360954,0.065642372,0.065642372,0.065642372,0.066138259,0.066138259,0.066138259,0.066138259,0.066138259
0.059575056,,0.055328354,0.057185761,0.057185761,0.057185761,0.057516148,0.057516148,0.057516148,0.057516148,0.057516148
0.099214947,,0.066997196,0.060208873,0.060208873,0.060208873,0.060734537,0.060734537,0.060734537,0.060734537,0.060734537
0.334363207,,0.143622596,0.199596142,0.199596142,0.199596142,0.199131728,0.199131728,0.199131728,0.199131728,0.199131728
0.097464682,,0.122618679,0.170882488,0.170882488,0.170882488,0.170578317,0.170578317,0.170578317,0.170578317,0.170578317
0.042326693,,0.055328354,0.055984055,0.055984055,0.055984055,0.056335619,0.056335619,0.056335619,0.056335619,0.056335619
0.051062065,,0.055328354,0.060527088,0.060527088,0.060527088,0.060798593,0.060798593,0.060798593,0.060798593,0.060798593
0.054924665,,0.055328354,0.060527088,0.060527088,0.060527088,0.060798593,0.060798593,0.060798593,0.060798593,0.060798593
0.048937784,,0.073220579,0.065079483,0.065079483,0.065079483,0.063058607,0.063058607,0.063058607,0.063058607,0.063058607
0.033661149,,0.07360954,0.065642372,0.065642372,0.065642372,0.066138259,0.066138259,0.066138259,0.066138259,0.066138259
0.053929982,,0.055328354,0.060527088,0.060527088,0.060527088,0.060798593,0.060798593,0.060798593,0.060798593,0.060798593
0.090051997,,0.093835534,0.089613407,0.089613407,0.089613407,0.090162371,0.090162371,0.090162371,0.090162371,0.090162371
0.064738838,,0.055328354,0.064777022,0.064777022,0.064777022,0.064981506,0.064981506,0.064981506,0.064981506,0.064981506
0.081291231,,0.055328354,0.064747712,0.064747712,0.064747712,0.064952713,0.064952713,0.064952713,0.064952713,0.064952713
0.047479471,,0.121451795,0.109234579,0.109234579,0.109234579,0.109972946,0.109972946,0.109972946,0.109972946,0.109972946
0.034221575,,0.076721232,0.067970696,0.067970696,0.067970696,0.06696183,0.06696183,0.06696183,0.06696183,0.06696183
0.03370432,,0.057662122,0.052353399,0.052353399,0.052353399,0.052819891,0.052819891,0.052819891,0.052819891,0.052819891
0.055146228,,0.088001113,0.079481812,0.079481812,0.079481812,0.080023043,0.080023043,0.080023043,0.080023043,0.080023043
0.048706793,,0.075943309,0.067812143,0.067812143,0.067812143,0.066344305,0.066344305,0.066344305,0.066344305,0.066344305
0.101072123,,0.055328354,0.052548936,0.052548936,0.052548936,0.052961034,0.052961034,0.052961034,0.052961034,0.052961034
0.026564166,,0.055328354,0.0495945,0.0495945,0.0495945,0.049029594,0.049029594,0.049029594,0.049029594,0.049029594
