,,y using no of feature according to heatmap,,,,,,,,
actual y,,1,2,3,4,5,6,7,8,y predicted using all feature
0.066808251,,0.056621113,0.078366713,0.081466256,0.080838981,0.079578626,0.079578626,0.079578627,0.07957803,0.07957803
0.059498937,,0.051773839,0.061577616,0.060930178,0.062151857,0.062975791,0.062975791,0.062975792,0.062975712,0.062975712
0.092415479,,0.051773839,0.04814988,0.047639786,0.049104238,0.050798423,0.050798423,0.050798423,0.050798336,0.050798336
0.082016942,,0.051773839,0.054157723,0.053461111,0.054809408,0.056218672,0.056218672,0.056218673,0.056218608,0.056218608
0.135140116,,0.051773839,0.048168808,0.047686943,0.049700341,0.050821986,0.050821986,0.050821986,0.050821895,0.050821895
0.047389207,,0.078918575,0.067894174,0.066786645,0.065810433,0.054653256,0.054653256,0.054653256,0.054653258,0.054653258
0.049431838,,0.063892024,0.055048483,0.054090557,0.051027806,0.052270805,0.052270805,0.052270805,0.052270818,0.052270818
0.064188508,,0.051773839,0.061577616,0.060883424,0.062168572,0.062965267,0.062965267,0.062965267,0.062965195,0.062965195
0.047747889,,0.092490943,0.081506553,0.080833683,0.08349563,0.08499747,0.08499747,0.084997469,0.08499791,0.08499791
0.029924749,,0.074556028,0.064269679,0.064764719,0.066860595,0.06769598,0.06769598,0.067695979,0.067696021,0.067696021
0.355423367,,0.144356777,0.185595689,0.18607022,0.184379275,0.185158157,0.185158157,0.185158157,0.18515901,0.18515901
0.03161232,,0.051773839,0.044386934,0.043542361,0.039779899,0.044851371,0.044851371,0.044851371,0.044851289,0.044851289
0.039966972,,0.054682203,0.047812773,0.051748477,0.052241859,0.051846428,0.051846428,0.051846428,0.051845711,0.051845711
0.037655386,,0.057590568,0.050992545,0.053280982,0.054438578,0.054670487,0.054670487,0.054670486,0.054670053,0.054670053
0.156855181,,0.051773839,0.063924726,0.066631563,0.066882815,0.065917527,0.065917527,0.065917528,0.065916941,0.065916941
0.03115753,,0.061468387,0.052782918,0.051819106,0.047726572,0.051613933,0.051613933,0.051613933,0.051613951,0.051613951
0.130471079,,0.135631684,0.19802456,0.197145719,0.196012493,0.195813076,0.195813076,0.195813077,0.195814017,0.195814017
0.024033342,,0.051773839,0.044330149,0.043476866,0.03693659,0.040410264,0.040410264,0.040410264,0.040410093,0.040410093
0.09075725,,0.051773839,0.048168808,0.047634344,0.049364181,0.050810146,0.050810146,0.050810146,0.050810063,0.050810063
0.037204617,,0.134177501,0.11845197,0.117898921,0.120597261,0.123252491,0.123252491,0.123252489,0.123253437,0.123253437
0.067991016,,0.051773839,0.058473375,0.057620552,0.058935222,0.060107232,0.060107232,0.060107232,0.060107187,0.060107187
0.092972909,,0.099761854,0.094333804,0.094030197,0.096065685,0.097934026,0.097934026,0.097934026,0.097934504,0.097934504
0.059030503,,0.051773839,0.048168808,0.047324595,0.049135376,0.050740421,0.050740421,0.050740421,0.050740385,0.050740385
0.066592159,,0.051773839,0.061577616,0.060819136,0.062109914,0.062950796,0.062950796,0.062950796,0.062950733,0.062950733
0.093054132,,0.097338217,0.094740915,0.094376225,0.096022459,0.098034619,0.098034619,0.098034618,0.098035073,0.098035073
0.034526098,,0.057590568,0.050992545,0.055735599,0.055736392,0.055238124,0.055238124,0.055238124,0.055237321,0.055237321
0.085746873,,0.051773839,0.054157723,0.053642285,0.05472402,0.056259455,0.056259455,0.056259455,0.056259363,0.056259363
0.055545219,,0.051773839,0.058473375,0.057416001,0.058883998,0.060061187,0.060061187,0.060061188,0.060061173,0.060061173
0.032197722,,0.065346207,0.056905257,0.055858301,0.046779052,0.044886464,0.044886464,0.044886464,0.04488632,0.04488632
0.075921121,,0.055166931,0.131102943,0.1311249,0.129163557,0.126679325,0.126679325,0.126679328,0.126679124,0.126679124
0.113693676,,0.092490943,0.081506553,0.08099148,0.08346202,0.084996102,0.084996102,0.084996102,0.084996518,0.084996518
0.061191557,,0.051773839,0.048168808,0.047207709,0.049117339,0.05071411,0.05071411,0.05071411,0.050714091,0.050714091
0.052980356,,0.051773839,0.052605602,0.051990394,0.053972014,0.054825833,0.054825833,0.054825833,0.054825758,0.054825758
0.02616286,,0.066315661,0.056946838,0.055955088,0.052062748,0.05137749,0.05137749,0.05137749,0.05137748,0.05137748
0.047601792,,0.051773839,0.052605602,0.052040071,0.05413414,0.054837015,0.054837015,0.054837015,0.054836933,0.054836933
0.051373402,,0.075040755,0.064650107,0.063541848,0.061024384,0.055845523,0.055845523,0.055845523,0.05584557,0.05584557
0.076185176,,0.051773839,0.054157723,0.053735794,0.055085189,0.056280504,0.056280504,0.056280504,0.056280398,0.056280398
0.022246375,,0.069708753,0.060366969,0.059301144,0.057905356,0.046759733,0.046759733,0.046759733,0.046759611,0.046759611
0.042481203,,0.060014205,0.054651232,0.062439562,0.060659862,0.059505587,0.059505587,0.059505587,0.059504354,0.059504354
0.028188421,,0.080857484,0.069184962,0.068010428,0.063021321,0.054747342,0.054747342,0.054747342,0.054747353,0.054747353
0.069690605,,0.051773839,0.054157723,0.053373446,0.054867587,0.056198939,0.056198939,0.056198939,0.056198888,0.056198888
0.05689203,,0.074556028,0.064269679,0.064940049,0.067113379,0.067735447,0.067735447,0.067735446,0.067735462,0.067735462
0.056256721,,0.068254571,0.059308968,0.058320028,0.052708524,0.048518204,0.048518204,0.048518204,0.048518111,0.048518111
