,,predicted y using no of features according to heatmap,,,,,,,,
actual y test,,1,2,3,4,5,6,7,8,predicted y using all features
0.047747889,,0.07301617,0.074387859,0.054279574,0.049245163,0.050418549,0.051366475,0.050907523,0.048075454,0.048075454
0.029924749,,0.038080079,0.035305591,0.035274248,0.034506846,0.040366154,0.039371809,0.041048106,0.032273103,0.032273103
0.355423367,,0.210760331,0.382571031,0.374806827,0.387176921,0.388135629,0.390181037,0.389986133,0.398620192,0.398620192
0.03161232,,0.071199049,0.0419319,0.034731855,0.041275106,0.040784447,0.038479152,0.03846837,0.02877056,0.02877056
0.039966972,,0.060547276,0.051469607,0.047693597,0.049210935,0.050097679,0.054342639,0.055306253,0.036322296,0.036322296
0.037655386,,0.042659487,0.041110508,0.053768396,0.046658483,0.040030924,0.039372716,0.039966428,0.036320714,0.036320714
0.156855181,,0.071199049,0.081487022,0.10074793,0.115706461,0.116954254,0.119210897,0.118572806,0.12124628,0.12124628
0.03115753,,0.038808018,0.033133653,0.026264843,0.030314298,0.030601155,0.031399782,0.031380643,0.029997921,0.029997921
0.130471079,,0.210760331,0.2478023,0.173132186,0.153851424,0.151288496,0.154610887,0.151556554,0.142298613,0.142298613
0.024033342,,0.071199049,0.0419319,0.034731855,0.029847047,0.028372415,0.02846183,0.028904764,0.025779183,0.025779183
0.09075725,,0.071199049,0.083221674,0.099865964,0.109476287,0.104150602,0.102188972,0.102408346,0.084249595,0.084249595
0.037204617,,0.210760331,0.080787613,0.060422741,0.05456432,0.052944621,0.051689022,0.051164502,0.055633554,0.055633554
0.067991016,,0.071199049,0.070984575,0.066043481,0.073281979,0.072434247,0.06864745,0.068879688,0.065656369,0.065656369
0.092972909,,0.089650023,0.090858161,0.093965233,0.099033586,0.095616443,0.093396842,0.094162254,0.092857884,0.092857884
0.059030503,,0.071199049,0.083221674,0.072629816,0.081082013,0.081375865,0.073089615,0.073723102,0.066951893,0.066951893
0.066592159,,0.071199049,0.067236013,0.06583093,0.060842029,0.062077073,0.060753661,0.061672787,0.061483451,0.061483451
0.093054132,,0.07506816,0.088973252,0.092632537,0.097346725,0.098894961,0.10072431,0.099277584,0.09311664,0.09311664
0.034526098,,0.042659487,0.041110508,0.040080718,0.042522901,0.039721192,0.046326615,0.045224004,0.036192676,0.036192676
0.085746873,,0.071199049,0.079128129,0.073519582,0.083876186,0.085673559,0.084614653,0.084245085,0.084777145,0.084777145
0.055545219,,0.071199049,0.070984575,0.055742391,0.059147815,0.058007525,0.057760446,0.05830024,0.058294209,0.058294209
0.032197722,,0.036748454,0.053386045,0.034248112,0.033787032,0.040852531,0.041623554,0.041479227,0.036764273,0.036764273
0.075921121,,0.072678522,0.093623683,0.074076199,0.067591444,0.072672839,0.071143408,0.071100609,0.074437742,0.074437742
0.113693676,,0.07301617,0.074387859,0.100148151,0.090735413,0.081323913,0.084909768,0.085557142,0.104598478,0.104598478
0.061191557,,0.071199049,0.083221674,0.065451306,0.076043499,0.070394627,0.073679013,0.073685467,0.081044525,0.081044525
0.052980356,,0.071199049,0.073600212,0.073055125,0.0607129,0.061840148,0.058487605,0.057291491,0.057041656,0.057041656
0.02616286,,0.096396026,0.044044223,0.042858627,0.040196702,0.037553404,0.03872302,0.03846323,0.026799219,0.026799219
