,,predicted y using number of features using heatmap,,,,,,,,,
actual y test,no of variable,1,2,3,4,5,6,7,8,predicted y using all features,
0.060303393,,0.07149678,0.086421568,0.058208049,0.080735981,0.082747466,0.080607088,0.076241693,0.088664867,0.08604,
0.037114341,,0.037121672,0.037121672,0.029414935,0.036911336,0.039685533,0.03671883,0.036712366,0.036218786,0.036610171,
0.08981698,,0.07149678,0.070686463,0.077095178,0.086970202,0.087435048,0.08612518,0.087865369,0.089481483,0.088715578,
0.060891839,,0.061699582,0.061699582,0.052551116,0.05719869,0.057571034,0.058859648,0.058059532,0.057364547,0.055744106,
0.06554233,,0.029524539,0.040679139,0.042724282,0.038957544,0.050158649,0.048716972,0.051375936,0.050594019,0.053189273,
0.038971616,,0.031908654,0.035389929,0.033699056,0.035879186,0.036721167,0.039146983,0.038276526,0.03904452,0.039421953,
0.080748112,,0.091535704,0.091535704,0.081869509,0.085380185,0.086117902,0.083504407,0.083295183,0.082304162,0.081504471,
0.355423367,,0.066213615,0.302777468,0.295424528,0.32832496,0.338633055,0.336366869,0.321885283,0.338161853,0.338830267,
0.045831544,,0.056894214,0.056894214,0.064315041,0.041216564,0.042650603,0.043024753,0.041432441,0.037102145,0.038300937,
0.065905765,,0.07149678,0.071896761,0.07099819,0.068946915,0.068316373,0.068311972,0.068265696,0.064750814,0.065899769,
0.088897281,,0.07149678,0.071896761,0.08243874,0.083276057,0.0838087,0.083638637,0.08299433,0.083187847,0.082176659,
0.099418357,,0.07149678,0.08300908,0.094065581,0.063833375,0.061705099,0.069257464,0.068849367,0.08200157,0.08074309,
0.081531757,,0.07149678,0.079132669,0.055756401,0.068884318,0.071190087,0.063596766,0.063553848,0.069712193,0.070548045,
0.056654814,,0.074352544,0.074659065,0.060967296,0.056621531,0.05654915,0.056861552,0.056496705,0.056088577,0.05670364,
0.10583122,,0.07149678,0.079132669,0.0985098,0.102124218,0.101343308,0.101919906,0.103257496,0.104376612,0.10207008,
0.152792553,,0.07149678,0.079132669,0.124690998,0.12747855,0.127115778,0.127758114,0.126475984,0.127023447,0.127778228,
0.06631715,,0.061699582,0.061699582,0.06739017,0.066848829,0.067389659,0.067181734,0.067213556,0.067600374,0.066716769,
0.043265181,,0.041223513,0.041223513,0.040505791,0.039160703,0.037939327,0.037718822,0.036940985,0.038518773,0.037882337,
0.049718954,,0.060840492,0.046460316,0.04595038,0.045425367,0.056609101,0.058399333,0.058940813,0.062794595,0.062707557,
0.067138914,,0.07149678,0.08300908,0.095187767,0.07433177,0.072430263,0.073105877,0.073451851,0.072839397,0.073189797,
0.03612119,,0.037049656,0.035370248,0.036537336,0.036583478,0.036195654,0.03556091,0.036222087,0.035978801,0.035517297,
0.059575056,,0.07149678,0.079132669,0.114369745,0.065579237,0.066245214,0.067519833,0.066937407,0.065436893,0.067333494,
0.099214947,,0.096667145,0.107440454,0.169639094,0.097498246,0.095939401,0.098659443,0.096934523,0.094500307,0.095107448,
0.334363207,,0.404300408,0.389165325,0.370185407,0.354725644,0.367120084,0.357402515,0.357037072,0.352571254,0.349027328,
0.097464682,,0.11801671,0.11801671,0.100947756,0.116521234,0.101506227,0.101524854,0.101880764,0.096823031,0.099569417,
0.042326693,,0.07149678,0.0736229,0.046564425,0.047360094,0.048258193,0.043896621,0.043651585,0.043651041,0.043638388,
0.051062065,,0.07149678,0.070686463,0.046743313,0.053310945,0.054282187,0.058092986,0.058553007,0.061727333,0.059700571,
0.054924665,,0.07149678,0.070686463,0.061036219,0.059424525,0.059072361,0.056850795,0.057809524,0.060695126,0.060767393,
0.048937784,,0.040771861,0.031503692,0.037056843,0.036783445,0.044160254,0.039995062,0.039841473,0.044758896,0.044727936,
0.033661149,,0.037049656,0.035370248,0.034578887,0.037091423,0.034364149,0.034395833,0.034828674,0.034789143,0.033826391,
0.053929982,,0.07149678,0.070686463,0.062500421,0.066124852,0.065953147,0.065264446,0.065525319,0.062150955,0.061438555,
0.090051997,,0.092873973,0.092873973,0.092197823,0.091798258,0.091813757,0.091917184,0.091860323,0.091932694,0.09193134,
0.064738838,,0.07149678,0.071896761,0.075247426,0.07179943,0.070292663,0.068807023,0.067721246,0.068720031,0.068105587,
0.081291231,,0.07149678,0.093756698,0.086835498,0.082490173,0.081929378,0.082897612,0.082590453,0.085639381,0.085503363,
0.047479471,,0.054382672,0.054382672,0.059142025,0.051365318,0.050964271,0.050660601,0.050292486,0.0507686,0.050626233,
0.034221575,,0.043558358,0.030337833,0.037855229,0.036471668,0.037301666,0.035152357,0.033803788,0.034434859,0.034742486,
0.03370432,,0.052075203,0.052075203,0.046170729,0.061536294,0.067421837,0.071797191,0.065665653,0.037124217,0.037475896,
0.055146228,,0.074352544,0.074659065,0.056630204,0.054871501,0.054960387,0.055024459,0.055006032,0.05501076,0.054898028,
0.048706793,,0.031376761,0.032249743,0.049309924,0.050505289,0.049629109,0.050050626,0.050275081,0.050293074,0.051079641,
0.101072123,,0.07149678,0.08300908,0.127843473,0.081135985,0.084314551,0.082813519,0.081909161,0.086651595,0.086686077,
0.026564166,,0.07149678,0.036884353,0.036934803,0.030206907,0.028064932,0.028718903,0.027895078,0.027447927,0.027137934,
