c(kg),Dgr,d/R,i,Fr
0.025,24.82739775,0.014285714,0.026,4.631885543
0.027,24.82739775,0.015151515,0.03,4.7773898
0.062,49.97107661,0.028985507,0.025,3.538603915
0.058,49.97107661,0.03030303,0.025,3.634853941
0.263,49.97107661,0.035714286,0.028,3.866986358
0.118,49.97107661,0.035087719,0.025,3.204559705
0.053,72.60964742,0.043283582,0.027,2.718532314
0.033,72.60964742,0.040277778,0.026,3.121625036
0.069,72.60964742,0.04084507,0.031,3.201306156
0.104,72.60964742,0.050877193,0.029,3.234116028
0.077,139.0334274,0.08115942,0.031,1.981240409
0.077,139.0334274,0.08115942,0.032,2.134957337
0.186,139.0334274,0.082352941,0.027,2.742993187
0.139,210.7548514,0.15,0.026,1.617067728
0.359,210.7548514,0.116666667,0.025,1.828467075
0.099,210.7548514,0.12,0.029,1.916321349
0.078,49.97107661,0.037037037,0.029,3.096986146
0.167,49.97107661,0.038461538,0.032,3.215883238
0.164,49.97107661,0.037735849,0.034,4.59169244
0.11,49.97107661,0.036363636,0.04,4.597354206
0.07,49.97107661,0.042553191,0.039,2.91014786
0.191,49.97107661,0.044444444,0.038,3.153603809
0.16,72.60964742,0.052727273,0.035,2.770090685
0.2,72.60964742,0.053703704,0.034,2.849771805
0.181,72.60964742,0.053703704,0.037,3.121625036
0.063,139.0334274,0.109803922,0.035,1.916337706
0.098,139.0334274,0.103703704,0.035,2.766904709
0.136,139.0334274,0.103703704,0.035,2.148621064
0.323,139.0334274,0.109803922,0.035,2.312585788
0.031,210.7548514,0.152727273,0.032,1.520977116
0.07,210.7548514,0.158490566,0.032,1.619813174
0.168,210.7548514,0.152727273,0.033,1.754340031
0.229,210.7548514,0.155555556,0.035,1.817485291
0.081,49.97107661,0.028571429,0.039,4.263309997
0.101,49.97107661,0.028169014,0.032,4.721913064
0.051,49.97107661,0.028985507,0.029,4.172721737
0.127,72.60964742,0.042028986,0.029,3.862190735
0.087,72.60964742,0.042028986,0.028,3.491907886
0.084,72.60964742,0.04084507,0.027,3.332545647
0.206,139.0334274,0.082352941,0.032,2.534621351
0.147,139.0334274,0.082352941,0.029,2.401400013
0.086,139.0334274,0.08,0.029,2.302337993
0.035,139.0334274,0.08115942,0.023,2.169116655
0.382,210.7548514,0.12173913,0.032,2.149684264
0.209,210.7548514,0.12,0.03,2.04810276
0.065,210.7548514,0.118309859,0.03,1.740612801
0.125,24.82739775,0.026315789,0.023,3.742692855
0.117,24.82739775,0.018181818,0.023,5.804003175
